,atc_code,chembl_id
753,N05CM15,CHEMBL501613
754,N05CX03,CHEMBL501613
755,L01AG01,CHEMBL460287
756,V08AB01,CHEMBL462394
757,N02AD02,CHEMBL46399
758,A03AX12,CHEMBL473159
759,A02BX51,CHEMBL499915
760,A02BX01,CHEMBL499915
761,A02BX71,CHEMBL499915
762,C01AB51,CHEMBL600325
763,C01AB01,CHEMBL600325
764,D05AX01,CHEMBL503160
765,C01AA06,CHEMBL506569
766,C03BA10,CHEMBL517199
767,D08AX08,CHEMBL545
768,V03AB16,CHEMBL545
769,V03AZ01,CHEMBL545
770,P01BE01,CHEMBL567597
771,R07AA01,CHEMBL1200737
772,G03CA06,CHEMBL1200761
773,N05CE02,CHEMBL1200790
774,R06AD03,CHEMBL1378
775,D01AE11,CHEMBL1289
776,L02BG02,CHEMBL132530
777,N06AA18,CHEMBL1328913
778,P01CD02,CHEMBL1330792
779,A07AX02,CHEMBL1330792
780,G01AB01,CHEMBL1330792
781,D07AD02,CHEMBL1200845
782,J01ED02,CHEMBL1525826
783,C03AA08,CHEMBL1577
784,A10BB31,CHEMBL1589
785,L02BX01,CHEMBL1252
786,L01DC02,CHEMBL1237054
787,R07AB04,CHEMBL1229908
788,A11HA07,CHEMBL1222251
789,J01FA06,CHEMBL1214185
790,J01MB06,CHEMBL1208
791,A03AB08,CHEMBL1201354
792,A03AB15,CHEMBL1201340
793,V08AA07,CHEMBL1201327
794,N05CM07,CHEMBL1201317
795,R05DB10,CHEMBL1201313
796,V08CA05,CHEMBL1201301
797,R03AC17,CHEMBL1201295
798,H02CA01,CHEMBL1200907
799,G03DB01,CHEMBL1200853
800,G01AX06,CHEMBL1103
801,N02AC03,CHEMBL559288
802,J05AD01,CHEMBL666
803,D04AA32,CHEMBL657
804,R06AA52,CHEMBL657
805,R06AA02,CHEMBL657
806,N01AH03,CHEMBL658
807,N06DA04,CHEMBL659
